Angezeigte strafbare Handlungen in Wien seit 2003;;;;;;;;;;;;;;;;;;;;
"Deliktgruppe
Strafbare Handlung";Berichtsjahr;;;;;;;;;;;;;;;;;;;
Sexueller Missbrauch von Jugendlichen § 207b;–;–;10;16;18;13;11;17;17;14;12;7;9,0;9;9;25;6;17;6;7
Zuhälterei § 216;39;43;38;34;33;21;29;13;25;19;20;16;65,0;9;24;11;18;9;10;7
Öffentliche unzüchtige Handlungen § 218;184;297;347;349;386;336;365;384;448;508;459;443;421,0;655;538;625;512;469;505;568
Sonstige Delikte gegen die Sittlichkeit;331;310;268;298;219;243;218;239;223;237;277;198;232,0;230;309;297;269;234;278;294
Sonstige Delikte;30196;24266;23652;20591;20196;18286;20285;20725;21809;21371;22271;21947;24257,0;28592;30203;26253;28506;24004;21189;23512
Brandstiftung § 169;162;136;133;129;110;122;134;150;155;194;145;169;118,0;60;38;46;51;36;26;29
Fahrlässige Herbeiführung einer Feuersbrunst – Verbrechen und Vergehen § 170;59;71;79;83;64;60;65;90;115;162;109;85;48,0;35;24;27;17;15;18;17
Kindesentziehung § 195;24;23;18;9;23;20;27;36;34;49;34;30;36,0;39;40;36;25;28;30;40
Verletzung der Unterhaltspflicht § 198;701;932;844;1010;1018;865;749;833;815;790;724;673;583,0;565;654;533;477;338;268;290
Bandenbildung § 278;22;20;30;41;38;19;11;16;14;18;11;19;18,0;27;26;18;35;35;26;27
Kriminelle Organisation § 278a;32;61;60;39;42;20;12;3;3;2;2;1;4,0;–;1;2;9;2;2;8
Pornographiegesetz §§ 1 und 2;5;10;6;4;3;3;24;4;1;2;1;1;2,0;–;–;–;–;2;–;–
Waffengesetz § 50;377;389;363;542;419;554;547;544;626;599;541;542;605,0;703;770;721;799;703;718;716
Sonstige Delikte nach dem StGB und Nebengesetzen;28814;22624;22119;18734;18479;16623;18716;19049;20046;19555;20704;20427;22843,0;27163;28650;24870;27093;22845;20101;22385
Quelle: Landespolizeidirektion Wien,;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
