2003;1,17359465078104;2,07534798578925;0,563189315653989;0,991093001632013;29,1348016382459;27,9590892751724;74,6102705392584;78,0443362791576;80,4808991707457;81,6802179422938
2004;1,18358276399539;2,07899286606083;0,567201566701666;1,00247674587568;29,2466685506248;27,7552890645323;75,2102426916793;78,9994175910602;80,9703846937253;83,623723751866
2005;1,17090737994468;1,95991527343175;0,561643650028346;0,946590103755913;29,4552386964293;27,9860012663235;75,2531782866474;79,9266757308404;81,2436914648792;83,6859372313094
2006;1,19382623275326;1,96339085478053;0,573233582813934;0,944794293653635;29,7250415993445;28,1416634126398;75,8711978375233;79,492801829897;81,4579527945063;83,4178535161623
2007;1,15188618957706;1,94095483845925;0,553879251371193;0,935952357564298;29,9127313947725;28,4051888524185;76,148518788918;79,0803406042731;81,5566090978691;83,8428787230883
2008;1,17546528210836;1,95566931567873;0,565826473621016;0,938756624899788;30,1101776015151;28,4980483531959;76,5933838607476;79,3395557053387;81,9689790037877;83,5862625640659
2009;1,1371971584975;1,94788875973734;0,545734442087846;0,938182481532776;30,2905093468698;28,4579578499843;76,1610624944756;76,9797297937762;81,6969720495733;81,7855873661885
2010;1,20119624009159;1,97053325393801;0,577162978629266;0,94506983625091;30,4906649554442;28,5093609816413;76,3038268608834;77,0820952467325;81,7874623749127;82,1699225087693
2011;1,20200834649402;1,94642001342439;0,578529887163064;0,935060879950427;30,6945539603298;28,8820497359316;76,8067014002208;77,3848083877093;82,3159546029279;81,9302718143609
2012;1,20202616772484;1,85847017023675;0,578835882197637;0,895784398042777;30,9810108364184;29,2313747306479;77,0642164741652;77,2194533286152;82,1330257947588;82,8171393556579
2013;1,20603396922621;1,81952109815708;0,581147125968223;0,876527397612604;31,0955828226649;29,4273544337282;77,2613104561004;77,1448885685676;82,3993523160819;82,4948344207742
2014;1,21070065469223;1,79601371306005;0,582660380401151;0,863473119288533;31,2590952565893;29,5647303777214;77,6051264486376;77,6507479114809;82,5515339360706;82,9584248628962
2015;1,21747433696142;1,80032477082061;0,587486468221623;0,868230172599861;31,4804925648378;29,7068801159071;77,4750178473414;78,2575435027359;82,7481143662263;82,8265439583155
2016;1,24071170059582;1,81252365643516;0,597526311514135;0,874471840026396;31,8027663050985;29,6611488718945;78,1257550129503;78,7078791631096;82,7423158141972;83,1632382841563
2017;1,20209360529706;1,76841686894629;0,578572660238066;0,852322334851805;31,9021155942906;29,7924058415086;78,1603924595193;78,7449733605063;82,8029259893569;83,2365598733042
2018;1,16536142741793;1,68347301257969;0,562557209341311;0,810042386389804;32,034110735189;29,9864537175237;77,9850412628181;78,9003356118601;82,7081352483159;82,6917742004452
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik der natÃƒÂ¼rlichen BevÃƒÂ¶lkerungsbewegung.;;;;;;;;;;
* Nach der StaatsangehÃƒÂ¶rigkeit der Mutter.;;;;;;;;;;
